GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SwiftEats Platform Library,com.swifteats.gateway,GatewayProxyFilter,3,278,4,54,1,65,4,32,0,7
SwiftEats Platform Library,com.swifteats.refund.controller,RefundController,0,33,0,0,0,9,0,4,0,4
SwiftEats Platform Library,com.swifteats.refund.controller,InternalRefundController,15,0,0,0,5,0,2,0,2,0
SwiftEats Platform Library,com.swifteats.common.security,RequestAuthAttributes,5,12,1,1,1,3,1,1,0,1
SwiftEats Platform Library,com.swifteats.common.security,InternalServiceAuthSupport,17,0,0,0,4,0,2,0,2,0
SwiftEats Platform Library,com.swifteats.common.security,AdminApiKeyFilter,2,44,1,3,0,14,1,4,0,3
SwiftEats Platform Library,com.swifteats.common.security,GpsRateLimiter,0,61,0,4,0,12,0,5,0,3
SwiftEats Platform Library,com.swifteats.common.security,GpsRateLimiter.Window,0,11,0,0,0,4,0,1,0,1
SwiftEats Platform Library,com.swifteats.common.security,CustomerAuthFilter,29,173,12,30,9,44,10,17,0,6
SwiftEats Platform Library,com.swifteats.common.security,InternalServiceAuthFilter,0,44,0,4,0,13,0,5,0,3
SwiftEats Platform Library,com.swifteats.common.security,DriverAuthFilter,13,112,4,10,5,32,4,8,0,5
SwiftEats Platform Library,com.swifteats.order.mapper,OrderMapper,0,122,0,0,0,52,0,6,0,6
SwiftEats Platform Library,com.swifteats.restaurant.mapper,RestaurantMapper,0,106,0,0,0,44,0,6,0,6
SwiftEats Platform Library,com.swifteats.tracking.exception,NoDriverAvailableException,0,4,0,0,0,2,0,1,0,1
SwiftEats Platform Library,com.swifteats.common.exception,ImportInProgressException,4,0,0,0,2,0,1,0,1,0
SwiftEats Platform Library,com.swifteats.common.exception,AccessDeniedException,0,4,0,0,0,2,0,1,0,1
SwiftEats Platform Library,com.swifteats.common.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
SwiftEats Platform Library,com.swifteats.common.exception,ErrorResponse,0,23,0,0,0,2,0,2,0,2
SwiftEats Platform Library,com.swifteats.common.exception,AuthenticationRequiredException,0,4,0,0,0,2,0,1,0,1
SwiftEats Platform Library,com.swifteats.common.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
SwiftEats Platform Library,com.swifteats.common.exception,GlobalExceptionHandler,0,90,0,0,0,15,0,13,0,13
SwiftEats Platform Library,com.swifteats.common.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
SwiftEats Platform Library,com.swifteats.order.exception,InvalidStateTransitionException,6,14,0,0,2,4,2,1,2,1
SwiftEats Platform Library,com.swifteats.order.service,OrderAccessValidator,0,31,0,2,0,8,0,4,0,3
SwiftEats Platform Library,com.swifteats.order.service,OrderStateMachine,0,95,0,2,0,21,0,4,0,3
SwiftEats Platform Library,com.swifteats.order.service,OutboxService,0,45,0,0,0,14,0,3,0,3
SwiftEats Platform Library,com.swifteats.order.service,OrderService,183,749,36,33,39,167,36,31,6,21
SwiftEats Platform Library,com.swifteats.common.domain,DriverStatus,0,33,0,0,0,6,0,1,0,1
SwiftEats Platform Library,com.swifteats.common.domain,OrderStatus,0,75,0,0,0,13,0,1,0,1
SwiftEats Platform Library,com.swifteats.common.domain,TemporaryDataLabels,2,17,2,4,1,5,2,2,0,1
SwiftEats Platform Library,com.swifteats.common.domain,PaymentStatus,0,21,0,0,0,4,0,1,0,1
SwiftEats Platform Library,com.swifteats.common.domain,RestaurantStatus,0,21,0,0,0,4,0,1,0,1
SwiftEats Platform Library,com.swifteats.common.domain,CustomerStatus,0,15,0,0,0,3,0,1,0,1
SwiftEats Platform Library,com.swifteats.common.domain,RefundStatus,0,27,0,0,0,5,0,1,0,1
SwiftEats Platform Library,com.swifteats.common.runtime,ServiceName,0,39,0,0,0,7,0,1,0,1
SwiftEats Platform Library,com.swifteats.restaurant.service,RestaurantService,43,675,18,38,4,164,23,33,5,23
SwiftEats Platform Library,com.swifteats.restaurant.service,MenuCacheService,57,233,8,22,19,61,8,20,0,13
SwiftEats Platform Library,com.swifteats.restaurant.controller,AdminRestaurantController,0,56,0,0,0,13,0,10,0,10
SwiftEats Platform Library,com.swifteats.restaurant.controller,RestaurantController,0,22,0,0,0,5,0,3,0,3
SwiftEats Platform Library,com.swifteats.tracking.service,GpsHotPathProcessor,11,0,0,0,5,0,2,0,2,0
SwiftEats Platform Library,com.swifteats.tracking.service,GpsArchiveSampler,25,67,3,5,5,17,2,5,0,3
SwiftEats Platform Library,com.swifteats.tracking.service,TrackingService,28,46,1,1,5,11,3,5,2,5
SwiftEats Platform Library,com.swifteats.tracking.service,DriverLocationCacheService,42,148,0,14,12,45,0,18,0,11
SwiftEats Platform Library,com.swifteats.tracking.service,GpsIngestService,0,78,0,8,0,22,0,7,0,3
SwiftEats Platform Library,com.swifteats.tracking.service,DriverAssignmentService,0,57,0,0,0,17,0,4,0,4
SwiftEats Platform Library,com.swifteats.tracking.service,SseTrackingService,40,271,10,14,9,62,12,15,3,12
SwiftEats Platform Library,com.swifteats.order.payment,PaymentProcessingService,0,63,0,2,0,15,0,4,0,3
SwiftEats Platform Library,com.swifteats.order.payment,OutboxPoller,30,91,2,6,8,24,2,6,0,4
SwiftEats Platform Library,com.swifteats.order.payment,MockPaymentGateway,7,51,1,5,5,12,1,5,0,3
SwiftEats Platform Library,com.swifteats.order.payment,PaymentWorker,0,28,0,0,0,10,0,3,0,3
SwiftEats Platform Library,com.swifteats.tracking.controller,TrackingController,0,33,0,0,0,9,0,3,0,3
SwiftEats Platform Library,com.swifteats.tracking.controller,DriverLocationController,16,0,0,0,5,0,2,0,2,0
SwiftEats Platform Library,com.swifteats.refund.service,RefundProcessingService,7,35,1,3,5,9,1,4,0,3
SwiftEats Platform Library,com.swifteats.refund.service,RefundResult,0,9,0,0,0,1,0,1,0,1
SwiftEats Platform Library,com.swifteats.refund.service,RefundService,22,378,4,16,1,86,8,21,4,15
SwiftEats Platform Library,com.swifteats.refund.service,RefundWorker,18,4,0,0,8,1,2,1,2,1
SwiftEats Platform Library,com.swifteats.auth,CustomerProfileMapper,0,26,0,0,0,12,0,1,0,1
SwiftEats Platform Library,com.swifteats.auth,CustomerAuthService,37,270,10,16,3,61,10,15,2,10
SwiftEats Platform Library,com.swifteats.auth,ApiTokenGenerator,0,16,0,0,0,4,0,2,0,2
SwiftEats Platform Library,com.swifteats.auth,AdminCustomerController,0,23,0,0,0,6,0,4,0,4
SwiftEats Platform Library,com.swifteats.auth,CustomerAuthController,0,33,0,0,0,9,0,5,0,5
SwiftEats Platform Library,com.swifteats.auth,AdminCustomerService,0,140,1,7,0,46,1,12,0,9
